id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
"meta:sotheby's||2020-04-29|gold sautoir, david webb","GOLD SAUTOIR, DAVID WEBB",other,,,hammer,20000,15000,20000,USD,2020-04-29,Sotheby's,N10353,,,"GOLD SAUTOIR, DAVID WEBB Composed of hammered gold links of acanthus design, gross weight approximately 126 dwts, length 27 inches, with pendant loop and detachable 7¾-inch section for variety of wear, signed Webb, numbered HA22. — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-06-16|david webb | pair of turquoise, emerald, ruby and diamond earrings","DAVID WEBB | PAIR OF TURQUOISE, EMERALD, RUBY AND DIAMOND EARRINGS",earrings,,,hammer,20000,18000,22000,USD,2020-06-16,Sotheby's,N10354,,,"DAVID WEBB PAIR OF TURQUOISE, EMERALD, RUBY AND DIAMOND EARRINGS Of floral design, centering oval-shaped cabochon emeralds, framed by round diamonds, round rubies and pear-shaped cabochon turquoises, signed Webb. — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-04-29|gold, amethyst and turquoise bangle-bracelet, david webb","GOLD, AMETHYST AND TURQUOISE BANGLE-BRACELET, DAVID WEBB",bracelet,,,hammer,20000,15000,20000,USD,2020-04-29,Sotheby's,N10353,,,"Property of a Private Collector, New York, New York GOLD, AMETHYST AND TURQUOISE BANGLE-BRACELET, DAVID WEBB Designed as a serpent, the body composed of textured gold scales, the head adorned with a square emerald-cut amethyst and turquoise cabochons, the tail decorated with pear-shaped amethysts, gross weight approximately 80 dwts, internal circumference 5⅝ inches, expandable, signed Webb. — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2020-07-23|david webb | gold and rock crystal bracelet,DAVID WEBB | GOLD AND ROCK CRYSTAL BRACELET,bracelet,,,hammer,20000,15000,20000,USD,2020-07-23,Sotheby's,N10407,,,"DAVID WEBB GOLD AND ROCK CRYSTAL BRACELET Featuring fluted rock crystal links, alternating with fluted and hammered gold links. · Length 7½ inches · Signed David Webb · 18 karat gold and platinum · Gross weight approximately 81 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-07-23|david webb | pair of gold, emerald and diamond earclips","DAVID WEBB | PAIR OF GOLD, EMERALD AND DIAMOND EARCLIPS",earrings,,,hammer,20000,18000,22000,USD,2020-07-23,Sotheby's,N10407,,,"DAVID WEBB PAIR OF GOLD, EMERALD AND DIAMOND EARCLIPS Featuring two drop-shaped emeralds, framed and surmounted by textured gold mountings of geometric design, accented by round diamonds. · Emeralds weighing approximately 16.00 carats · Diamonds weighing approximately 3.00 carats · Length 2⅛ inches · Signed David Webb · 18 karat gold and platinum — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-11-13|ruby, emerald and diamond brooch, david webb","RUBY, EMERALD AND DIAMOND BROOCH, DAVID WEBB",brooch,,,hammer,20000,15000,20000,CHF,2019-11-13,Sotheby's,GE1905,,,"Of cluster design, set with a carved emerald leaf within surrounds of circular-cut and baguette diamonds, and calibré-cut rubies, further decorated with cabochon and carved ruby leaves and similarly carved emeralds to the diamond set border, signed David Webb. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2019-09-25|gold and emerald cuff-bracelet, david webb","GOLD AND EMERALD CUFF-BRACELET, DAVID WEBB",bracelet,,,hammer,20000,8000,12000,USD,2019-09-25,Sotheby's,N10129,,,"The hinged hammered gold cuff topped with a molded gold alligator embellished with oval cabochon emerald eyes, gross weight approximately 67 dwts, internal circumference 6⅛ inches, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-09-25|gold and diamond collar-necklace, david webb","GOLD AND DIAMOND COLLAR-NECKLACE, DAVID WEBB",necklace,,,hammer,20000,15000,20000,USD,2019-09-25,Sotheby's,N10129,,,"Of hinged design, the hammered gold ropetwist terminating in scroll motifs set with round diamonds, internal circumference 12¾ inches, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2019-06-06|two enamel and diamond bracelets, david webb","TWO ENAMEL AND DIAMOND BRACELETS, DAVID WEBB",bracelet,,,hammer,20000,15000,20000,USD,2019-06-06,Sotheby's,N10092,,,"The serpentine-style links applied with white enamel, accented by links set with clusters of round and single-cut diamonds, length 7⅜ inches, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2018-12-11|group of enamel and diamond jewels, david webb","GROUP OF ENAMEL AND DIAMOND JEWELS, DAVID WEBB",other,,,hammer,20000,8000,15000,GBP,2018-12-11,Sotheby's,L18052,,,"Comprising: a necklace, composed of links of twisted design applied with black enamel alternating with annular links set with brilliant-cut diamonds, length approximately 415mm signed Webb; a pair of ear clips of hexagonal outline, set with brilliant-cut diamonds and bordered with black enamel, each signed Webb, significant damage to enamel; and a ring of geometric design, the front similarly set with brilliant-cut diamonds and applied with black enamel, size K1/2 (sizing band), signed Webb. — Auction type: Main Sales — Location: London",sothebys-site,2026-08-07
